State,State Number,Count
Alabama,1,9
Alaska,1,8
Arizona,1,296
Arkansas,1,9
California,1,179
Colorado,1,42
Connecticut,1,15
Delaware,1,6
Florida,1,39
Georgia,2,25
Hawaii,2,6
Idaho,2,7
Illinois,2,40
Indiana,2,18
Iowa,2,7
Kansas,2,15
Kentucky,2,11
Louisiana,3,16
Maine,3,11
Maryland,3,13
Massachusetts,3,24
Michigan,3,41
Minnesota,3,18
Mississippi,3,8
Missouri,3,37
Montana,3,5
Nebraska,3,10
Nevada,3,22
New Hampshire,3,5
New Jersey,3,20
New Mexico,3,48
New York,3,51
North Carolina,3,21
North Dakota,3,2
Ohio,3,52
Oklahoma,3,8
Oregon,3,37
Pennsylvania,3,35
Rhode Island,3,3
South Carolina,3,18
South Dakota,3,3
Tennessee,3,17
Texas,3,48
Utah,3,11
Vermont,3,3
Virginia,3,22
Washington,3,38
West Virginia,3,6
Wisconsin,3,28
Wyoming,3,1
